(0.002) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.000) UPDATE `django_session` SET `session_data` = 'MmI1OGEzYTc5MjBkYWIxYzVlMmViODUyNDY3MTIxYWE1ZDA4YWU1NDp7InZlcmlmeV9jb2RlIjoiUUJEVCJ9', `expire_date` = '2020-06-08 17:58:02.525349' WHERE `django_session`.`session_key` = '2bic4xspcdygntlhdd3wbodnl4ywb892'; args=('MmI1OGEzYTc5MjBkYWIxYzVlMmViODUyNDY3MTIxYWE1ZDA4YWU1NDp7InZlcmlmeV9jb2RlIjoiUUJEVCJ9', '2020-06-08 17:58:02.525349', '2bic4xspcdygntlhdd3wbodnl4ywb892')
(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.000) SELECT VERSION(); args=None
(0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '2bic4xspcdygntlhdd3wbodnl4ywb892' AND `django_session`.`expire_date` > '2020-05-25 17:58:10.830146'); args=('2bic4xspcdygntlhdd3wbodnl4ywb892', '2020-05-25 17:58:10.830146')
(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.000) SELECT VERSION(); args=None
(0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '2bic4xspcdygntlhdd3wbodnl4ywb892' AND `django_session`.`expire_date` > '2020-05-25 17:58:10.840121'); args=('2bic4xspcdygntlhdd3wbodnl4ywb892', '2020-05-25 17:58:10.840121')
(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.000) SELECT VERSION(); args=None
(0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '2bic4xspcdygntlhdd3wbodnl4ywb892' AND `django_session`.`expire_date` > '2020-05-25 17:58:10.860063'); args=('2bic4xspcdygntlhdd3wbodnl4ywb892', '2020-05-25 17:58:10.860063')
(0.002) UPDATE `django_session` SET `session_data` = 'NzRhZTkyZDFiZjMyNzliMjkwN2Q3YTIxNjE1ZDA4MzhiMzJmNGU1Zjp7InZlcmlmeV9jb2RlIjoiTWh4QiJ9', `expire_date` = '2020-06-08 17:58:10.869037' WHERE `django_session`.`session_key` = '2bic4xspcdygntlhdd3wbodnl4ywb892'; args=('NzRhZTkyZDFiZjMyNzliMjkwN2Q3YTIxNjE1ZDA4MzhiMzJmNGU1Zjp7InZlcmlmeV9jb2RlIjoiTWh4QiJ9', '2020-06-08 17:58:10.869037', '2bic4xspcdygntlhdd3wbodnl4ywb892')
(0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.000) SELECT VERSION(); args=None
(0.001) SHOW FULL TABLES; args=None
(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
